ServiceName                                              Action                                                                           AccessLevel             Description
AWS CodeArtifact                                         codeartifact:ListAssociatedPackages                                              List                    Grants permission to list the packages associated to a package group
AWS CodeArtifact                                         codeartifact:ListDomains                                                         List                    Grants permission to list the domains in the current user's AWS account
AWS CodeArtifact                                         codeartifact:ListPackageGroups                                                   List                    Grants permission to list the package groups in a domain
AWS CodeArtifact                                         codeartifact:ListPackages                                                        List                    Grants permission to list the packages in a repository
AWS CodeArtifact                                         codeartifact:ListPackageVersionAssets                                            List                    Grants permission to list a package version's assets
AWS CodeArtifact                                         codeartifact:ListPackageVersionDependencies                                      List                    Grants permission to list the direct dependencies of a package version
AWS CodeArtifact                                         codeartifact:ListPackageVersions                                                 List                    Grants permission to list a package's versions
AWS CodeArtifact                                         codeartifact:ListRepositories                                                    List                    Grants permission to list the repositories administered by the calling account
AWS CodeArtifact                                         codeartifact:ListRepositoriesInDomain                                            List                    Grants permission to list the repositories in a domain
AWS CodeArtifact                                         codeartifact:ListSubPackageGroups                                                List                    Grants permission to list the sub package groups for a parent package group
AWS CodeArtifact                                         codeartifact:ListTagsForResource                                                 List                    Grants permission to list tags for a CodeArtifact resource
AWS CodeArtifact                                         codeartifact:PublishPackageVersion                                               Write                   Grants permission to publish assets and metadata to a repository endpoint
AWS CodeArtifact                                         codeartifact:PutDomainPermissionsPolicy                                          Write                   Grants permission to attach a resource policy to a domain
AWS CodeArtifact                                         codeartifact:PutPackageMetadata                                                  Write                   Grants permission to add, modify or remove package metadata using a repository endpoint
AWS CodeArtifact                                         codeartifact:PutPackageOriginConfiguration                                       Write                   Grants permission to set origin configuration for a package
AWS CodeArtifact                                         codeartifact:PutRepositoryPermissionsPolicy                                      Write                   Grants permission to attach a resource policy to a repository
AWS CodeArtifact                                         codeartifact:ReadFromRepository                                                  Read                    Grants permission to return package assets and metadata from a repository endpoint
AWS CodeArtifact                                         codeartifact:TagResource                                                         Tagging                 Grants permission to tag a CodeArtifact resource
AWS CodeArtifact                                         codeartifact:UntagResource                                                       Tagging                 Grants permission to remove a tag from a CodeArtifact resource
AWS CodeArtifact                                         codeartifact:UpdatePackageGroup                                                  Write                   Grants permission to modify the properties of a package group
AWS CodeArtifact                                         codeartifact:UpdatePackageGroupOriginConfiguration                               Write                   Grants permission to modify the package origin configuration of a package group
AWS CodeArtifact                                         codeartifact:UpdatePackageVersionsStatus                                         Write                   Grants permission to modify the status of one or more versions of a package
AWS CodeArtifact                                         codeartifact:UpdateRepository                                                    Write                   Grants permission to modify the properties of a repository
AWS CodeBuild                                            codebuild:BatchDeleteBuilds                                                      Write                   Grants permission to delete one or more builds
AWS CodeBuild                                            codebuild:BatchGetBuildBatches                                                   Read                    Grants permission to get information about one or more build batches
AWS CodeBuild                                            codebuild:BatchGetBuilds                                                         Read                    Grants permission to get information about one or more builds
AWS CodeBuild                                            codebuild:BatchGetFleets                                                         Read                    Grants permission to return an array of the Fleet objects specified by the input parameter
AWS CodeBuild                                            codebuild:BatchGetProjects                                                       Read                    Grants permission to get information about one or more build projects
AWS CodeBuild                                            codebuild:BatchGetReportGroups                                                   Read                    Grants permission to return an array of ReportGroup objects that are specified by the input reportGroupArns parameter
AWS CodeBuild                                            codebuild:BatchGetReports                                                        Read                    Grants permission to return an array of the Report objects specified by the input reportArns parameter
AWS CodeBuild                                            codebuild:BatchPutCodeCoverages                                                  Write                   Grants permission to add or update information about a report
AWS CodeBuild                                            codebuild:BatchPutTestCases                                                      Write                   Grants permission to add or update information about a report
AWS CodeBuild                                            codebuild:CreateFleet                                                            Write                   Grants permission to create a compute fleet
AWS CodeBuild                                            codebuild:CreateProject                                                          Write                   Grants permission to create a build project
AWS CodeBuild                                            codebuild:CreateReport                                                           Write                   Grants permission to create a report. A report is created when tests specified in the buildspec file for a report groups run during the build of a project
AWS CodeBuild                                            codebuild:CreateReportGroup                                                      Write                   Grants permission to create a report group
AWS CodeBuild                                            codebuild:CreateWebhook                                                          Write                   Grants permission to create webhook. For an existing AWS CodeBuild build project that has its source code stored in a GitHub or Bitbucket repository, enables AWS CodeBuild to start rebuilding the source code every time a code change is pushed to the repository
AWS CodeBuild                                            codebuild:DeleteBuildBatch                                                       Write                   Grants permission to delete a build batch
AWS CodeBuild                                            codebuild:DeleteFleet                                                            Write                   Grants permission to delete a compute fleet
AWS CodeBuild                                            codebuild:DeleteOAuthToken                                                       Write                   Grants permission to delete an OAuth token from a connected third-party OAuth provider. Only used in the AWS CodeBuild console
AWS CodeBuild                                            codebuild:DeleteProject                                                          Write                   Grants permission to delete a build project
AWS CodeBuild                                            codebuild:DeleteReport                                                           Write                   Grants permission to delete a report
AWS CodeBuild                                            codebuild:DeleteReportGroup                                                      Write                   Grants permission to delete a report group
AWS CodeBuild                                            codebuild:DeleteResourcePolicy                                                   Permissions management  Grants permission to delete a resource policy for the associated project or report group
AWS CodeBuild                                            codebuild:DeleteSourceCredentials                                                Write                   Grants permission to delete a set of GitHub, GitHub Enterprise, or Bitbucket source credentials
AWS CodeBuild                                            codebuild:DeleteWebhook                                                          Write                   Grants permission to delete webhook. For an existing AWS CodeBuild build project that has its source code stored in a GitHub or Bitbucket repository, stops AWS CodeBuild from rebuilding the source code every time a code change is pushed to the repository
AWS CodeBuild                                            codebuild:DescribeCodeCoverages                                                  Read                    Grants permission to return an array of CodeCoverage objects
AWS CodeBuild                                            codebuild:DescribeTestCases                                                      Read                    Grants permission to return an array of TestCase objects
AWS CodeBuild                                            codebuild:GetReportGroupTrend                                                    Read                    Grants permission to analyze and accumulate test report values for the test reports in the specified report group
AWS CodeBuild                                            codebuild:GetResourcePolicy                                                      Read                    Grants permission to return a resource policy for the specified project or report group
AWS CodeBuild                                            codebuild:ImportSourceCredentials                                                Write                   Grants permission to import the source repository credentials for an AWS CodeBuild project that has its source code stored in a GitHub, GitHub Enterprise, or Bitbucket repository
AWS CodeBuild                                            codebuild:InvalidateProjectCache                                                 Write                   Grants permission to reset the cache for a project
AWS CodeBuild                                            codebuild:ListBuildBatches                                                       List                    Grants permission to get a list of build batch IDs, with each build batch ID representing a single build batch
AWS CodeBuild                                            codebuild:ListBuildBatchesForProject                                             List                    Grants permission to get a list of build batch IDs for the specified build project, with each build batch ID representing a single build batch
AWS CodeBuild                                            codebuild:ListBuilds                                                             List                    Grants permission to get a list of build IDs, with each build ID representing a single build
AWS CodeBuild                                            codebuild:ListBuildsForProject                                                   List                    Grants permission to get a list of build IDs for the specified build project, with each build ID representing a single build
AWS CodeBuild                                            codebuild:ListConnectedOAuthAccounts                                             List                    Grants permission to list connected third-party OAuth providers. Only used in the AWS CodeBuild console
AWS CodeBuild                                            codebuild:ListCuratedEnvironmentImages                                           List                    Grants permission to get information about Docker images that are managed by AWS CodeBuild
AWS CodeBuild                                            codebuild:ListFleets                                                             List                    Grants permission to get a list of compute fleet ARNs, with each compute fleet ARN representing a single fleet
AWS CodeBuild                                            codebuild:ListProjects                                                           List                    Grants permission to get a list of build project names, with each build project name representing a single build project
AWS CodeBuild                                            codebuild:ListReportGroups                                                       List                    Grants permission to return a list of report group ARNs. Each report group ARN represents one report group
AWS CodeBuild                                            codebuild:ListReports                                                            List                    Grants permission to return a list of report ARNs. Each report ARN representing one report
AWS CodeBuild                                            codebuild:ListReportsForReportGroup                                              List                    Grants permission to return a list of report ARNs that belong to the specified report group. Each report ARN represents one report
AWS CodeBuild                                            codebuild:ListRepositories                                                       List                    Grants permission to list source code repositories from a connected third-party OAuth provider. Only used in the AWS CodeBuild console
AWS CodeBuild                                            codebuild:ListSharedProjects                                                     List                    Grants permission to return a list of project ARNs that have been shared with the requester. Each project ARN represents one project
AWS CodeBuild                                            codebuild:ListSharedReportGroups                                                 List                    Grants permission to return a list of report group ARNs that have been shared with the requester. Each report group ARN represents one report group
AWS CodeBuild                                            codebuild:ListSourceCredentials                                                  List                    Grants permission to return a list of SourceCredentialsInfo objects
AWS CodeBuild                                            codebuild:PersistOAuthToken                                                      Write                   Grants permission to save an OAuth token from a connected third-party OAuth provider. Only used in the AWS CodeBuild console
AWS CodeBuild                                            codebuild:PutResourcePolicy                                                      Permissions management  Grants permission to create a resource policy for the associated project or report group
AWS CodeBuild                                            codebuild:RetryBuild                                                             Write                   Grants permission to retry a build
AWS CodeBuild                                            codebuild:RetryBuildBatch                                                        Write                   Grants permission to retry a build batch
AWS CodeBuild                                            codebuild:StartBuild                                                             Write                   Grants permission to start running a build
AWS CodeBuild                                            codebuild:StartBuildBatch                                                        Write                   Grants permission to start running a build batch
AWS CodeBuild                                            codebuild:StopBuild                                                              Write                   Grants permission to attempt to stop running a build
AWS CodeBuild                                            codebuild:StopBuildBatch                                                         Write                   Grants permission to attempt to stop running a build batch
AWS CodeBuild                                            codebuild:UpdateFleet                                                            Write                   Grants permission to change the settings of an existing compute fleet
AWS CodeBuild                                            codebuild:UpdateProject                                                          Write                   Grants permission to change the settings of an existing build project
AWS CodeBuild                                            codebuild:UpdateProjectVisibility                                                Write                   Grants permission to change the public visibility of a project and its builds
AWS CodeBuild                                            codebuild:UpdateReport                                                           Write                   Grants permission to update information about a report
AWS CodeBuild                                            codebuild:UpdateReportGroup                                                      Write                   Grants permission to change the settings of an existing report group
AWS CodeBuild                                            codebuild:UpdateWebhook                                                          Write                   Grants permission to update the webhook associated with an AWS CodeBuild build project
Amazon CodeCatalyst                                      codecatalyst:AcceptConnection                                                    Write                   Grants permission to accept a request to connect this account to an Amazon CodeCatalyst space
Amazon CodeCatalyst                                      codecatalyst:AssociateIamRoleToConnection                                        Write                   Grants permission to associate an IAM role to a connection
Amazon CodeCatalyst                                      codecatalyst:AssociateIdentityCenterApplicationToSpace                           Write                   Grants permission to associate an IAM Identity Center application with an Amazon CodeCatalyst space
Amazon CodeCatalyst                                      codecatalyst:AssociateIdentityToIdentityCenterApplication                        Write                   Grants permission to associate an identity with an IAM Identity Center application for an Amazon CodeCatalyst space
Amazon CodeCatalyst                                      codecatalyst:BatchAssociateIdentitiesToIdentityCenterApplication                 Write                   Grants permission to associate multiple identities with an IAM Identity Center application for an Amazon CodeCatalyst space
Amazon CodeCatalyst                                      codecatalyst:BatchDisassociateIdentitiesFromIdentityCenterApplication            Write                   Grants permission to disassociate multiple identities from an IAM Identity Center application for an Amazon CodeCatalyst space
Amazon CodeCatalyst                                      codecatalyst:CreateIdentityCenterApplication                                     Write                   Grants permission to create an IAM Identity Center application
Amazon CodeCatalyst                                      codecatalyst:CreateSpace                                                         Write                   Grants permission to create an Amazon CodeCatalyst space
Amazon CodeCatalyst                                      codecatalyst:CreateSpaceAdminRoleAssignment                                      Write                   Grants permission to create an administrator role assignment for a given Amazon CodeCatalyst space and IAM Identity Center application
Amazon CodeCatalyst                                      codecatalyst:DeleteConnection                                                    Write                   Grants permission to delete a connection
Amazon CodeCatalyst                                      codecatalyst:DeleteIdentityCenterApplication                                     Write                   Grants permission to delete an IAM Identity Center application
Amazon CodeCatalyst                                      codecatalyst:DisassociateIamRoleFromConnection                                   Write                   Grants permission to disassociate an IAM role from a connection
Amazon CodeCatalyst                                      codecatalyst:DisassociateIdentityCenterApplicationFromSpace                      Write                   Grants permission to disassociate an IAM Identity Center application from an Amazon CodeCatalyst space
Amazon CodeCatalyst                                      codecatalyst:DisassociateIdentityFromIdentityCenterApplication                   Write                   Grants permission to disassociate an identity from an IAM Identity Center application for an Amazon CodeCatalyst space
Amazon CodeCatalyst                                      codecatalyst:GetBillingAuthorization                                             Read                    Grants permission to describe the billing authorization for a connection
Amazon CodeCatalyst                                      codecatalyst:GetConnection                                                       Read                    Grants permission to get a connection
Amazon CodeCatalyst                                      codecatalyst:GetIdentityCenterApplication                                        Read                    Grants permission to get information about an IAM Identity Center application
Amazon CodeCatalyst                                      codecatalyst:GetPendingConnection                                                Read                    Grants permission to get a pending request to connect this account to an Amazon CodeCatalyst space
Amazon CodeCatalyst                                      codecatalyst:ListConnections                                                     List                    Grants permission to list connections that are not pending
Amazon CodeCatalyst                                      codecatalyst:ListIamRolesForConnection                                           List                    Grants permission to list IAM roles associated with a connection
Amazon CodeCatalyst                                      codecatalyst:ListIdentityCenterApplications                                      List                    Grants permission to view a list of all IAM Identity Center applications in the account
Amazon CodeCatalyst                                      codecatalyst:ListIdentityCenterApplicationsForSpace                              List                    Grants permission to view a list of IAM Identity Center applications by Amazon CodeCatalyst space
Amazon CodeCatalyst                                      codecatalyst:ListSpacesForIdentityCenterApplication                              List                    Grants permission to view a list of Amazon CodeCatalyst spaces by IAM Identity Center application
Amazon CodeCatalyst                                      codecatalyst:ListTagsForResource                                                 Read                    Grants permission to list tags for an Amazon CodeCatalyst resource
Amazon CodeCatalyst                                      codecatalyst:PutBillingAuthorization                                             Write                   Grants permission to create or update the billing authorization for a connection
Amazon CodeCatalyst                                      codecatalyst:RejectConnection                                                    Write                   Grants permission to reject a request to connect this account to an Amazon CodeCatalyst space
Amazon CodeCatalyst                                      codecatalyst:SynchronizeIdentityCenterApplication                                Write                   Grants permission to synchronize an IAM Identity Center application with the backing identity store
Amazon CodeCatalyst                                      codecatalyst:TagResource                                                         Tagging                 Grants permission to tag an Amazon CodeCatalyst resource
Amazon CodeCatalyst                                      codecatalyst:UntagResource                                                       Tagging                 Grants permission to untag an Amazon CodeCatalyst resource
Amazon CodeCatalyst                                      codecatalyst:UpdateIdentityCenterApplication                                     Write                   Grants permission to update an IAM Identity Center application
AWS CodeCommit                                           codecommit:AssociateApprovalRuleTemplateWithRepository                           Write                   Grants permission to associate an approval rule template with a repository
AWS CodeCommit                                           codecommit:BatchAssociateApprovalRuleTemplateWithRepositories                    Write                   Grants permission to associate an approval rule template with multiple repositories in a single operation
AWS CodeCommit                                           codecommit:BatchDescribeMergeConflicts                                           Read                    Grants permission to get information about multiple merge conflicts when attempting to merge two commits using either the three-way merge or the squash merge option
AWS CodeCommit                                           codecommit:BatchDisassociateApprovalRuleTemplateFromRepositories                 Write                   Grants permission to remove the association between an approval rule template and multiple repositories in a single operation
AWS CodeCommit                                           codecommit:BatchGetCommits                                                       Read                    Grants permission to return information about one or more commits in an AWS CodeCommit repository
AWS CodeCommit                                           codecommit:BatchGetPullRequests                                                  Read                    Grants permission to return information about one or more pull requests in an AWS CodeCommit repository
AWS CodeCommit                                           codecommit:BatchGetRepositories                                                  Read                    Grants permission to get information about multiple repositories
AWS CodeCommit                                           codecommit:CancelUploadArchive                                                   Read                    Grants permission to cancel the uploading of an archive to a pipeline in AWS CodePipeline
AWS CodeCommit                                           codecommit:CreateApprovalRuleTemplate                                            Write                   Grants permission to create an approval rule template that will automatically create approval rules in pull requests that match the conditions defined in the template; does not grant permission to create approval rules for individual pull requests
AWS CodeCommit                                           codecommit:CreateBranch                                                          Write                   Grants permission to create a branch in an AWS CodeCommit repository with this API; does not control Git create branch actions
AWS CodeCommit                                           codecommit:CreateCommit                                                          Write                   Grants permission to add, copy, move or update single or multiple files in a branch in an AWS CodeCommit repository, and generate a commit for the changes in the specified branch
AWS CodeCommit                                           codecommit:CreatePullRequest                                                     Write                   Grants permission to create a pull request in the specified repository
AWS CodeCommit                                           codecommit:CreatePullRequestApprovalRule                                         Write                   Grants permission to create an approval rule specific to an individual pull request; does not grant permission to create approval rule templates
AWS CodeCommit                                           codecommit:CreateRepository                                                      Write                   Grants permission to create an AWS CodeCommit repository
AWS CodeCommit                                           codecommit:CreateUnreferencedMergeCommit                                         Write                   Grants permission to create an unreferenced commit that contains the result of merging two commits using either the three-way or the squash merge option; does not control Git merge actions
AWS CodeCommit                                           codecommit:DeleteApprovalRuleTemplate                                            Write                   Grants permission to delete an approval rule template
AWS CodeCommit                                           codecommit:DeleteBranch                                                          Write                   Grants permission to delete a branch in an AWS CodeCommit repository with this API; does not control Git delete branch actions
AWS CodeCommit                                           codecommit:DeleteCommentContent                                                  Write                   Grants permission to delete the content of a comment made on a change, file, or commit in a repository
AWS CodeCommit                                           codecommit:DeleteFile                                                            Write                   Grants permission to delete a specified file from a specified branch
AWS CodeCommit                                           codecommit:DeletePullRequestApprovalRule                                         Write                   Grants permission to delete approval rule created for a pull request if the rule was not created by an approval rule template
AWS CodeCommit                                           codecommit:DeleteRepository                                                      Write                   Grants permission to delete an AWS CodeCommit repository
AWS CodeCommit                                           codecommit:DescribeMergeConflicts                                                Read                    Grants permission to get information about specific merge conflicts when attempting to merge two commits using either the three-way or the squash merge option
AWS CodeCommit                                           codecommit:DescribePullRequestEvents                                             Read                    Grants permission to return information about one or more pull request events
AWS CodeCommit                                           codecommit:DisassociateApprovalRuleTemplateFromRepository                        Write                   Grants permission to remove the association between an approval rule template and a repository
AWS CodeCommit                                           codecommit:EvaluatePullRequestApprovalRules                                      Read                    Grants permission to evaluate whether a pull request is mergable based on its current approval state and approval rule requirements
AWS CodeCommit                                           codecommit:GetApprovalRuleTemplate                                               Read                    Grants permission to return information about an approval rule template
AWS CodeCommit                                           codecommit:GetBlob                                                               Read                    Grants permission to view the encoded content of an individual file in an AWS CodeCommit repository from the AWS CodeCommit console
AWS CodeCommit                                           codecommit:GetBranch                                                             Read                    Grants permission to get details about a branch in an AWS CodeCommit repository with this API; does not control Git branch actions
AWS CodeCommit                                           codecommit:GetComment                                                            Read                    Grants permission to get the content of a comment made on a change, file, or commit in a repository
AWS CodeCommit                                           codecommit:GetCommentReactions                                                   Read                    Grants permission to get the reactions on a comment
AWS CodeCommit                                           codecommit:GetCommentsForComparedCommit                                          Read                    Grants permission to get information about comments made on the comparison between two commits
AWS CodeCommit                                           codecommit:GetCommentsForPullRequest                                             Read                    Grants permission to get comments made on a pull request
AWS CodeCommit                                           codecommit:GetCommit                                                             Read                    Grants permission to return information about a commit, including commit message and committer information, with this API; does not control Git log actions
AWS CodeCommit                                           codecommit:GetCommitHistory                                                      Read                    Grants permission to get information about the history of commits in a repository
AWS CodeCommit                                           codecommit:GetCommitsFromMergeBase                                               Read                    Grants permission to get information about the difference between commits in the context of a potential merge
AWS CodeCommit                                           codecommit:GetDifferences                                                        Read                    Grants permission to view information about the differences between valid commit specifiers such as a branch, tag, HEAD, commit ID, or other fully qualified reference
AWS CodeCommit                                           codecommit:GetFile                                                               Read                    Grants permission to return the base-64 encoded contents of a specified file and its metadata
AWS CodeCommit                                           codecommit:GetFolder                                                             Read                    Grants permission to return the contents of a specified folder in a repository
AWS CodeCommit                                           codecommit:GetMergeCommit                                                        Read                    Grants permission to get information about a merge commit created by one of the merge options for pull requests that creates merge commits. Not all merge options create merge commits. This permission does not control Git merge actions
AWS CodeCommit                                           codecommit:GetMergeConflicts                                                     Read                    Grants permission to get information about merge conflicts between the before and after commit IDs for a pull request in a repository
AWS CodeCommit                                           codecommit:GetMergeOptions                                                       Read                    Grants permission to get information about merge options for pull requests that can be used to merge two commits; does not control Git merge actions
AWS CodeCommit                                           codecommit:GetObjectIdentifier                                                   Read                    Grants permission to resolve blobs, trees, and commits to their identifier
AWS CodeCommit                                           codecommit:GetPullRequest                                                        Read                    Grants permission to get information about a pull request in a specified repository
AWS CodeCommit                                           codecommit:GetPullRequestApprovalStates                                          Read                    Grants permission to retrieve the current approvals on an inputted pull request
AWS CodeCommit                                           codecommit:GetPullRequestOverrideState                                           Read                    Grants permission to retrieve the current override state of a given pull request
AWS CodeCommit                                           codecommit:GetReferences                                                         Read                    Grants permission to get details about references in an AWS CodeCommit repository; does not control Git reference actions
AWS CodeCommit                                           codecommit:GetRepository                                                         Read                    Grants permission to get information about an AWS CodeCommit repository
AWS CodeCommit                                           codecommit:GetRepositoryTriggers                                                 Read                    Grants permission to get information about triggers configured for a repository
AWS CodeCommit                                           codecommit:GetTree                                                               Read                    Grants permission to view the contents of a specified tree in an AWS CodeCommit repository from the AWS CodeCommit console
AWS CodeCommit                                           codecommit:GetUploadArchiveStatus                                                Read                    Grants permission to get status information about an archive upload to a pipeline in AWS CodePipeline
AWS CodeCommit                                           codecommit:GitPull                                                               Read                    Grants permission to pull information from an AWS CodeCommit repository to a local repo
AWS CodeCommit                                           codecommit:GitPush                                                               Write                   Grants permission to push information from a local repo to an AWS CodeCommit repository
AWS CodeCommit                                           codecommit:ListApprovalRuleTemplates                                             List                    Grants permission to list all approval rule templates in an AWS Region for the AWS account
AWS CodeCommit                                           codecommit:ListAssociatedApprovalRuleTemplatesForRepository                      List                    Grants permission to list approval rule templates that are associated with a repository
AWS CodeCommit                                           codecommit:ListBranches                                                          List                    Grants permission to list branches for an AWS CodeCommit repository with this API; does not control Git branch actions
AWS CodeCommit                                           codecommit:ListFileCommitHistory                                                 List                    Grants permission to list commits and changes to a specified file
AWS CodeCommit                                           codecommit:ListPullRequests                                                      List                    Grants permission to list pull requests for a specified repository
AWS CodeCommit                                           codecommit:ListRepositories                                                      List                    Grants permission to list information about AWS CodeCommit repositories in the current Region for your AWS account
AWS CodeCommit                                           codecommit:ListRepositoriesForApprovalRuleTemplate                               List                    Grants permission to list repositories that are associated with an approval rule template
AWS CodeCommit                                           codecommit:ListTagsForResource                                                   List                    Grants permission to list the resource attached to a CodeCommit resource ARN
AWS CodeCommit                                           codecommit:MergeBranchesByFastForward                                            Write                   Grants permission to merge two commits into the specified destination branch using the fast-forward merge option
AWS CodeCommit                                           codecommit:MergeBranchesBySquash                                                 Write                   Grants permission to merge two commits into the specified destination branch using the squash merge option
AWS CodeCommit                                           codecommit:MergeBranchesByThreeWay                                               Write                   Grants permission to merge two commits into the specified destination branch using the three-way merge option
AWS CodeCommit                                           codecommit:MergePullRequestByFastForward                                         Write                   Grants permission to close a pull request and attempt to merge it into the specified destination branch for that pull request at the specified commit using the fast-forward merge option
AWS CodeCommit                                           codecommit:MergePullRequestBySquash                                              Write                   Grants permission to close a pull request and attempt to merge it into the specified destination branch for that pull request at the specified commit using the squash merge option
AWS CodeCommit                                           codecommit:MergePullRequestByThreeWay                                            Write                   Grants permission to close a pull request and attempt to merge it into the specified destination branch for that pull request at the specified commit using the three-way merge option
