ServiceName                                              Action                                                                           AccessLevel             Description
Alexa for Business                                       a4b:ListSkillsStoreSkillsByCategory                                              List                    Grants permission to list all skills in the Alexa skill store by category
Alexa for Business                                       a4b:ListSmartHomeAppliances                                                      List                    Grants permission to list all of the smart home appliances associated with a room
Alexa for Business                                       a4b:ListTags                                                                     Read                    Grants permission to list all tags on a resource
Alexa for Business                                       a4b:PutConferencePreference                                                      Write                   Grants permission to set the conference preferences on a specific conference provider at the account level
Alexa for Business                                       a4b:PutDeviceSetupEvents                                                         Write                   Grants permission to publish Alexa device setup events
Alexa for Business                                       a4b:PutInvitationConfiguration                                                   Write                   Grants permission to configure the email template for the user enrollment invitation with the specified attributes
Alexa for Business                                       a4b:PutRoomSkillParameter                                                        Write                   Grants permission to put a room specific parameter for a skill
Alexa for Business                                       a4b:PutSkillAuthorization                                                        Write                   Grants permission to link a user's account to a third-party skill provider
Alexa for Business                                       a4b:RegisterAVSDevice                                                            Write                   Grants permission to register an Alexa-enabled device built by an Original Equipment Manufacturer (OEM) using Alexa Voice Service (AVS)
Alexa for Business                                       a4b:RegisterDevice                                                               Write                   Grants permission to register an Alexa device
Alexa for Business                                       a4b:RejectSkill                                                                  Write                   Grants permission to disassociate a skill from the organization under a user's AWS account
Alexa for Business                                       a4b:ResolveRoom                                                                  Read                    Grants permission to resolve room information
Alexa for Business                                       a4b:RevokeInvitation                                                             Write                   Grants permission to revoke an invitation
Alexa for Business                                       a4b:SearchAddressBooks                                                           List                    Grants permission to search address books and list the ones that meet a set of filter and sort criteria
Alexa for Business                                       a4b:SearchContacts                                                               List                    Grants permission to search contacts and list the ones that meet a set of filter and sort criteria
Alexa for Business                                       a4b:SearchDevices                                                                List                    Grants permission to search for devices
Alexa for Business                                       a4b:SearchNetworkProfiles                                                        List                    Grants permission to search network profiles and list the ones that meet a set of filter and sort criteria
Alexa for Business                                       a4b:SearchProfiles                                                               List                    Grants permission to search for profiles
Alexa for Business                                       a4b:SearchRooms                                                                  List                    Grants permission to search for rooms
Alexa for Business                                       a4b:SearchSkillGroups                                                            List                    Grants permission to search for skill groups
Alexa for Business                                       a4b:SearchUsers                                                                  List                    Grants permission to search for users
